Hit	ClusterNumber	LargoSecuencia	Porc+AF8-identity+AF8-Target	CompresedAlignment	LabelQuery	LabelTarget
H	302	207	96.1	207M	denovo1340	denovo10269
H	11083	207	91.3	207M	denovo13401	denovo19973
H	1295	207	96.6	207M	denovo13400	denovo11162
H	23746	207	96.6	207M	denovo13403	denovo31369
H	26615	208	96.2	76MD131M	denovo13407	denovo33951
H	26642	208	84.1	208M	denovo13410	denovo33976
H	11066	207	93.2	207M	denovo13402	denovo19958
H	18436	206	93.2	206M	denovo13405	denovo26590
H	22524	207	98.6	195MI12M	denovo13404	denovo30269
H	26748	207	88.0	53MI154M	denovo13406	denovo34070
H	12261	207	90.8	207M	denovo13409	denovo21031
H	25727	205	89.3	55MD149M	denovo13416	denovo33151
H	27135	207	96.1	207M	denovo1341	denovo34419
H	16422	207	98.1	207M	denovo13408	denovo24778
H	306	207	94.7	207M	denovo13411	denovo10272
H	26854	202	95.5	181M4D17M10I	denovo13414	denovo34166
H	23328	211	92.8	207M4D	denovo13413	denovo30993
H	6318	209	94.3	209M	denovo13417	denovo15684
H	5023	208	96.2	58MD149M	denovo13412	denovo14518
H	12084	207	96.1	207M	denovo13415	denovo20873
H	13422	207	96.1	207M	denovo13420	denovo22077
H	10141	207	98.1	207MI	denovo1342	denovo19124
H	27024	207	95.2	207M	denovo13419	denovo34319
H	15585	207	96.1	207M	denovo13418	denovo24023
H	33632	207	96.2	183MI24M	denovo13422	denovo521
H	13402	207	96.6	25MI182M40I	denovo13423	denovo22059
H	23540	207	96.6	207M	denovo13424	denovo31183
H	26489	206	93.7	15MI191M	denovo13430	denovo33838
H	16634	207	98.6	207M	denovo13425	denovo24969
H	33389	204	94.7	23M3I181M	denovo13426	denovo4992
H	12631	207	96.1	207M	denovo13428	denovo21365
H	21627	207	96.6	207M	denovo13427	denovo29462
H	38931	207	96.1	207M	denovo13431	denovo9980
H	1123	207	96.6	206MD	denovo13432	denovo11007
H	23306	207	97.6	207M	denovo13434	denovo30973
H	33794	228	99.0	45MD162M20D	denovo13433	denovo5356
H	31846	207	93.2	207M	denovo13437	denovo3866
H	11339	207	96.6	207M	denovo13435	denovo20201
H	36659	207	96.1	207M	denovo13438	denovo7935
H	27458	207	96.6	207M	denovo13436	denovo3471
H	13751	207	96.5	187MI12M8D	denovo1344	denovo22373
H	12466	225	95.7	13MD48MI13MD7MI11MD113M17D	denovo13439	denovo21216
H	25842	207	95.2	207M	denovo13443	denovo33255
H	31956	226	95.7	207M19D	denovo13444	denovo38759
H	14720	208	94.2	208M	denovo13442	denovo23245
H	18707	207	97.1	207M	denovo13441	denovo26834
H	13818	207	96.6	207M	denovo13448	denovo22433
H	6160	224	95.7	44M2I161M19D	denovo13440	denovo15541
H	2825	207	97.6	207M18I	denovo13446	denovo1254
H	13134	212	96.6	207M5D	denovo13447	denovo21818
H	6831	207	95.7	207M	denovo1345	denovo16145
H	1544	208	95.2	58MI42M3D65MI40M	denovo13449	denovo11387
H	5903	207	92.8	207M	denovo13450	denovo1531
H	9314	207	95.7	207M	denovo13451	denovo18380
H	19909	207	96.6	207M	denovo13452	denovo27916
H	4180	208	96.7	170MI38M	denovo13455	denovo1376
H	38929	207	95.7	207M	denovo13454	denovo9979
H	33104	207	96.1	207M19I	denovo13453	denovo4735
H	4642	207	96.6	207M	denovo13457	denovo14175
H	16122	208	96.6	208M19I	denovo13460	denovo24507
H	35583	225	90.8	207M18D	denovo13458	denovo6967
H	11983	208	93.8	208M	denovo13456	denovo20782
H	24433	206	94.8	40MI29M3I102MD34M	denovo13467	denovo31988
H	12661	207	98.6	207M	denovo13462	denovo21392
H	11543	207	93.7	207M	denovo13461	denovo20386
H	460	207	98.6	207M5I	denovo13459	denovo10410
H	7333	209	93.8	32M2D42MI133M	denovo13463	denovo16598
H	5708	207	99.0	207M	denovo13464	denovo15134
H	17560	207	95.7	207M	denovo13465	denovo25801
H	29171	207	77.8	207M	denovo13471	denovo36251
H	20850	207	96.6	207M	denovo13466	denovo28763
H	4731	208	95.7	208M	denovo13469	denovo14255
H	16491	219	94.3	157MI12M2D8MD17MD12M9D	denovo13468	denovo2484
H	38516	206	93.8	67MD6M2I132M	denovo1347	denovo9606
H	4937	207	96.1	207M	denovo13477	denovo14440
H	16072	207	94.2	207M	denovo13478	denovo24462
H	12443	223	96.1	207M16D	denovo13470	denovo21196
H	36770	207	96.6	207M	denovo13475	denovo8034
H	19780	207	96.6	207M	denovo13473	denovo2780
H	20180	207	94.2	207M	denovo13482	denovo2816
H	939	207	94.7	207M	denovo13474	denovo10842
H	12168	207	94.7	207M	denovo13479	denovo20949
H	6539	229	91.9	150MD58M20D	denovo13480	denovo15883
H	28741	225	96.9	225M	denovo1348	denovo35865
H	33807	208	96.6	192MD15M	denovo13481	denovo5368
H	1015	211	91.0	211M	denovo13483	denovo10910
H	4486	205	78.3	28MI19M5D28MI125M	denovo13490	denovo14034
H	10535	207	88.9	207M	denovo13486	denovo1948
H	797	207	91.3	207M	denovo13487	denovo10714
H	17874	207	97.1	207M	denovo13484	denovo26084
H	26365	207	90.3	207M	denovo13485	denovo33726
H	22243	186	92.5	11MD174M	denovo13492	denovo30015
H	11003	207	99.0	195MI12M	denovo1349	denovo19900
H	12252	207	95.2	207M	denovo13488	denovo21023
H	12556	207	94.7	207M	denovo13491	denovo21298
H	27716	207	98.0	195M2I8M4D	denovo13494	denovo34942
H	2733	216	91.7	29MD22M3D10M2D30M2D117M	denovo13489	denovo12457
H	29364	207	96.6	207M	denovo13493	denovo36425
H	9039	207	78.8	45MI162M	denovo13497	denovo18132
H	5779	207	90.8	207M	denovo13495	denovo15199
H	1466	205	96.6	2I205M17I	denovo13498	denovo11316
H	36708	210	95.7	76MD133M	denovo13500	denovo798
H	22197	207	98.6	207M	denovo13496	denovo29976
H	2374	207	96.6	207M	denovo135	denovo12133
H	27685	207	96.1	207M	denovo13499	denovo34914
H	22373	207	96.1	207M	denovo13503	denovo30132
H	2286	207	95.2	207M	denovo13501	denovo12054
H	13138	211	93.9	29MI12MD18MD44MD12MD92M	denovo13502	denovo21821
H	20260	207	85.5	207M13I	denovo13504	denovo28231
H	18748	207	96.6	8MD198M	denovo13508	denovo26871
H	9796	207	96.6	207M	denovo13505	denovo18814
H	25160	280	96.4	267MD12M	denovo13513	denovo32641
H	12324	207	94.2	207M	denovo1351	denovo21089
H	18956	231	96.8	68MI45MI8MI92M18D	denovo13506	denovo27058
H	13299	208	78.4	208M19I	denovo13512	denovo21967
H	16187	207	93.2	207M	denovo13509	denovo24566
H	34853	226	92.3	207M19D	denovo13507	denovo6309
H	34532	206	93.7	206M	denovo13511	denovo602
H	17387	207	93.7	164MD42M	denovo13510	denovo25646
H	30944	207	94.7	207M	denovo13514	denovo37848
H	29158	207	96.1	207M	denovo13516	denovo3624
H	4021	207	98.1	178MD28M	denovo13517	denovo13616
H	32469	207	87.0	28MI179M19I	denovo13515	denovo4163
H	6787	208	87.0	52MD155M	denovo13521	denovo16105
H	34716	208	94.7	35MD172M	denovo13519	denovo6186
H	37490	207	96.6	207M43I	denovo1352	denovo8683
H	15466	207	94.2	207M	denovo13518	denovo23917
H	22159	207	96.6	207M	denovo13520	denovo29941
H	15806	207	95.2	207M	denovo13523	denovo24222
H	17072	205	91.7	40MI165M	denovo1353	denovo25362
H	460	207	99.0	207M5I	denovo13522	denovo10410
H	31927	227	96.6	207M20D	denovo13524	denovo38732
H	34468	207	96.6	207M17I	denovo13525	denovo5963
H	2121	207	96.1	207M19I	denovo13528	denovo11906
H	33537	207	96.6	207M	denovo13526	denovo5124
H	32135	207	94.7	207M	denovo13527	denovo3892
H	25543	207	96.6	207M	denovo13529	denovo32987
H	22018	207	96.1	207M	denovo13532	denovo29814
H	3277	207	94.2	207M	denovo13533	denovo12947
H	17477	207	96.1	207M	denovo13530	denovo25727
H	18099	207	94.7	207M	denovo13531	denovo26287
H	20924	206	96.1	33MI173M	denovo13535	denovo2883
H	19744	208	95.7	208M	denovo13534	denovo27768
H	22149	207	96.1	207M	denovo13536	denovo29932
H	2746	207	94.2	207M	denovo13538	denovo12469
H	13845	207	86.6	8MD66MI57MI75M	denovo13545	denovo22458
H	2160	207	90.8	86MD120M	denovo13537	denovo11941
H	33014	230	97.8	212MI13M5D	denovo13539	denovo4654
H	26911	209	95.7	209M20I	denovo1354	denovo34217
H	9194	207	96.1	86MD120M	denovo13541	denovo18272
H	34346	196	88.2	D16MD7MD37MD65MD31M3D32M18I	denovo13543	denovo5853
H	585	207	99.0	158MI49M	denovo13540	denovo10523
H	21920	207	95.2	207M	denovo13548	denovo29726
H	36578	210	72.0	17MD20MI22M2D23MD124M	denovo13550	denovo7862
H	29738	207	93.2	207M	denovo13547	denovo36762
H	24447	207	92.3	207M	denovo13544	denovo320
H	25020	207	88.5	47MI160M	denovo13549	denovo32515
H	15822	207	90.8	207M	denovo13546	denovo24237
H	6727	207	96.1	207M	denovo13556	denovo16051
H	25844	203	95.6	84M2D92M2D23M28I	denovo13554	denovo33257
H	25488	207	96.1	207M	denovo13552	denovo32937
H	23255	207	89.9	207M17I	denovo13551	denovo30927
H	18527	219	80.8	2I219M	denovo13563	denovo26672
H	17295	207	95.2	207M	denovo13555	denovo25563
H	35068	208	90.4	208M	denovo1356	denovo6502
H	6476	207	91.3	207M	denovo13557	denovo15826
H	11089	207	96.6	207M41I	denovo13559	denovo19979
H	15999	207	92.3	207M	denovo13558	denovo24397
H	14793	207	97.6	207M	denovo13564	denovo23310
H	329	208	94.7	208M	denovo13565	denovo10293
H	9423	207	96.6	207M	denovo13561	denovo18479
H	4830	204	90.7	166MI38MI	denovo13571	denovo14344
H	26762	207	96.2	129MI78M	denovo13562	denovo34083
H	22164	207	98.1	207M	denovo13568	denovo29946
H	30664	207	85.6	91MI116M	denovo13567	denovo37596
H	33435	207	95.2	207M	denovo13566	denovo5032
H	29719	207	95.7	163M2D9MD32M16I	denovo13569	denovo36745
H	22361	210	93.3	29MD113MD10M2D54M	denovo13572	denovo30121
H	13806	204	96.1	204M3I	denovo13573	denovo22422
H	23688	207	92.3	207M	denovo1357	denovo31316
H	25102	207	95.2	207M	denovo13570	denovo3259
H	16512	207	95.7	207M	denovo13576	denovo24859
H	21192	207	96.1	207M	denovo13575	denovo29070
H	11373	206	95.6	192M2D12M3I	denovo13577	denovo20232
H	3468	207	96.6	207M	denovo13579	denovo13118
H	2505	207	97.1	207M	denovo13574	denovo12251
H	32753	207	88.4	207M	denovo13582	denovo4419
H	16941	207	87.4	207M	denovo13578	denovo25244
H	11003	207	99.0	195MI12M	denovo1358	denovo19900
H	2214	208	85.6	166MD41M	denovo13585	denovo11990
H	28013	208	96.6	208M	denovo13580	denovo35209
H	7554	207	97.6	207M	denovo13584	denovo16797
H	38174	228	93.3	22MD136MD12MD25MI11M19D	denovo13581	denovo9299
H	32932	207	96.6	207M	denovo13583	denovo4580
H	11440	225	95.7	207M18D	denovo13589	denovo20293
H	17925	210	87.1	59MD150M	denovo13588	denovo2613
H	26511	207	96.6	207M	denovo13586	denovo33858
H	30712	207	93.7	207M	denovo13590	denovo37639
H	8216	207	94.7	207M	denovo13591	denovo17392
H	12332	207	92.8	207M	denovo13592	denovo21096
H	12873	225	96.1	207M18D	denovo1359	denovo21583
H	9941	207	99.0	158MI49M	denovo13593	denovo18945
H	14571	207	94.7	207M	denovo13594	denovo23110
H	17466	207	94.2	207M	denovo13595	denovo25717
H	10812	207	99.5	207M	denovo13598	denovo19729
H	2135	211	96.7	58MD139MD12M	denovo13597	denovo11919
H	18635	226	98.1	207M19D	denovo13596	denovo2677
H	7452	225	93.2	165MI41M19D	denovo13599	denovo16704
H	15558	207	97.6	207M	denovo13600	denovo240
H	15466	208	92.8	130MD77M	denovo1360	denovo23917
H	25576	205	96.6	205M	denovo13605	denovo33015
H	34959	207	96.6	207M	denovo13601	denovo6404
H	4100	207	94.7	207M	denovo13603	denovo13688
H	3685	197	94.4	9I23MI174M	denovo13602	denovo13313
H	10549	208	85.6	208M	denovo13611	denovo19492
H	24764	207	96.1	207M	denovo13604	denovo32285
H	13482	223	89.2	48MD10MD11M3D15M3D20MD30M2D18MD11MD19MD13MD12MD	denovo13608	denovo22130
H	34150	207	96.6	207M	denovo13606	denovo5677
H	32867	207	96.1	207M	denovo1361	denovo4521
H	1669	209	90.0	78MI131M	denovo13609	denovo115
H	18386	226	94.7	207M19D	denovo13610	denovo26545
H	37843	207	94.2	207M	denovo13607	denovo900
H	14342	207	92.3	207M	denovo13612	denovo22905
H	21663	207	92.8	207M	denovo13618	denovo29495
H	12854	207	97.1	76MI131M	denovo13613	denovo21566
H	1051	207	96.6	207M	denovo13614	denovo10943
H	7879	203	96.1	85MD117M5I	denovo1362	denovo17089
H	30470	207	96.1	207M	denovo13615	denovo37420
H	10561	206	99.0	178MI28M	denovo13616	denovo19502
H	9401	207	87.4	207M	denovo13619	denovo18459
H	29683	207	96.1	207M	denovo13617	denovo36712
H	10336	207	96.6	207M	denovo13624	denovo1930
H	38917	206	82.6	50MI156M	denovo13622	denovo9968
H	11003	207	98.6	195MI12M	denovo13621	denovo19900
H	37996	224	94.2	207M17D	denovo13620	denovo9138
H	15512	207	96.1	207M	denovo13625	denovo23959
H	27759	207	98.1	207M13I	denovo13623	denovo34981
H	2971	208	96.1	D207M	denovo13626	denovo12671
H	6775	228	97.6	16MD105MD86M19D	denovo13627	denovo16095
H	21554	207	92.3	207M	denovo1363	denovo29397
H	33649	207	94.2	207M	denovo13628	denovo5225
H	34161	205	95.6	205M	denovo13636	denovo5687
H	18734	227	95.7	75MI133M19D	denovo13629	denovo26859
H	14381	207	93.7	207M	denovo13631	denovo22940
H	27030	185	95.1	185M	denovo13635	denovo34324
H	31699	207	96.6	207M	denovo13630	denovo38527
H	24638	207	96.6	207M	denovo13632	denovo32171
H	150	227	96.6	207M20D	denovo13633	denovo10131
H	10914	208	85.1	208M	denovo13642	denovo19820
H	15656	265	95.1	190MI46MD28M	denovo13644	denovo24088
H	23295	206	96.1	202MI4M	denovo13634	denovo30963
H	20265	207	89.4	207M	denovo13637	denovo28236
H	22868	207	89.8	206MD	denovo13638	denovo30579
H	6332	207	94.7	59MI148M	denovo13645	denovo15697
H	409	207	90.8	207M	denovo1364	denovo10365
H	11762	222	96.6	190M2I15M17D	denovo13640	denovo20583
H	35803	228	95.2	209M19D	denovo13641	denovo7164
H	6989	206	91.8	147MI59M	denovo1365	denovo16288
H	29341	229	95.7	194M2D13M20D	denovo13646	denovo36404
H	14199	207	96.6	207M	denovo13643	denovo22777
H	33265	207	95.2	207M20I	denovo13647	denovo4880
H	15921	208	96.6	208M	denovo13654	denovo24326
H	10289	208	93.8	194MD13M	denovo13648	denovo19258
H	36470	208	94.2	93MD114M	denovo13650	denovo7765
H	16363	207	95.7	90MD45MD11M2I59M	denovo13649	denovo24724
H	22791	207	96.6	207M	denovo13651	denovo30509
H	19725	207	89.9	207M	denovo13653	denovo27750
H	14992	208	95.2	116MD91M	denovo13655	denovo23490
H	16955	207	95.7	207M	denovo13656	denovo25257
H	2064	207	94.7	207M	denovo13661	denovo11855
H	21716	207	91.8	207M	denovo13657	denovo29542
H	33506	208	85.6	32MI43MD132M	denovo13658	denovo5097
H	33900	207	96.1	207M	denovo13662	denovo5451
H	11679	207	94.8	11MI88MI64MI44M20I	denovo13660	denovo20508
H	4661	207	96.6	207M	denovo13659	denovo14192
H	9360	207	96.6	207M	denovo13664	denovo18421
H	25958	207	93.7	207M	denovo13663	denovo3336
H	37452	207	96.6	207M	denovo13665	denovo8649
H	12467	207	90.3	207M	denovo13671	denovo21217
H	3684	208	97.1	114MD93M	denovo13668	denovo13312
H	4695	207	96.2	32MI175M	denovo13667	denovo14222
H	30116	207	95.2	207M	denovo13666	denovo37101
H	12487	209	94.3	209M	denovo13669	denovo21235
H	37777	207	96.1	207M	denovo13670	denovo8941
H	11031	207	96.6	207M14I	denovo1367	denovo19926
H	8917	208	96.1	187MI19M2D	denovo13677	denovo18022
H	11896	208	94.7	188MD19M	denovo13675	denovo20703
H	29765	207	99.5	207M	denovo13673	denovo36787
H	7156	206	92.7	182MD23M2I	denovo13676	denovo16438
H	20715	226	96.6	207M19D	denovo13672	denovo28641
H	2281	214	93.5	94M5D17M2D96M	denovo1368	denovo1205
H	19148	208	96.2	208M	denovo13678	denovo27230
H	8658	207	96.1	33MD173M	denovo13681	denovo17790
H	17993	208	96.6	208M	denovo13679	denovo26191
H	13561	207	95.2	207M16I	denovo13680	denovo22201
H	30896	207	87.6	74M2I133M	denovo13686	denovo37804
H	1628	207	96.1	207M	denovo13682	denovo11462
H	5673	207	92.8	12MI195M	denovo13683	denovo15102
H	23879	207	94.2	207M	denovo13687	denovo31489
H	13026	227	96.2	209M18D	denovo13685	denovo21720
H	4442	229	99.0	131MD40MD36M20D	denovo13684	denovo13996
H	19500	207	95.7	207M	denovo13688	denovo27548
H	19738	207	96.6	207M	denovo1369	denovo27762
H	30535	207	92.8	207M	denovo13689	denovo3748
H	35751	207	93.7	207M	denovo13690	denovo7117
H	27782	208	92.3	182MD25M	denovo13691	denovo35000
H	11986	207	93.7	207M	denovo13692	denovo20785
H	31236	207	96.6	192MI14MD	denovo13693	denovo3811
H	8876	211	96.7	211M	denovo13695	denovo17987
H	16495	207	99.5	11D196M19I	denovo13694	denovo24843
H	36870	207	90.3	207M	denovo13696	denovo8124
H	20673	207	95.7	48MI147MI12M18I	denovo13697	denovo28603
H	6677	207	96.6	54MD152M11I	denovo13699	denovo16006
H	5848	207	94.2	207M	denovo13698	denovo15260
H	8912	207	94.7	207M	denovo137	denovo18018
H	4049	209	89.0	209M19I	denovo13701	denovo13641
H	7956	207	95.2	207M	denovo1370	denovo17158
H	33597	207	95.7	146MD60M	denovo13700	denovo5179
H	10068	207	96.6	207M	denovo13702	denovo19059
H	23608	207	98.0	194MI8M5D	denovo13703	denovo31244
H	31837	209	93.3	208MD	denovo13705	denovo38651
H	22171	207	97.6	207M	denovo13704	denovo29952
H	21351	207	96.1	207M20I	denovo13706	denovo29213
H	33762	207	96.1	207M	denovo13709	denovo5327
H	37969	208	93.8	208M	denovo13707	denovo9113
H	5942	206	92.8	14MI192M	denovo13708	denovo15345
H	4205	228	88.0	22MI124MI39MD21M21D	denovo13711	denovo13782
H	20969	207	96.6	207M	denovo1371	denovo28870
H	19285	207	95.7	207M	denovo13712	denovo27354
H	6181	207	99.0	207M	denovo13714	denovo15560
H	38256	207	95.7	207M	denovo13713	denovo9372
H	38175	207	96.1	207M	denovo13718	denovo93
H	38883	207	94.7	207M	denovo13715	denovo9937
H	1724	207	96.1	207M	denovo13717	denovo11549
H	6237	214	93.9	89M3D27M3D92M	denovo1372	denovo15610
H	22712	208	96.2	208M	denovo13719	denovo30438
H	38598	207	93.7	207M	denovo13721	denovo9680
H	10950	207	93.2	207M	denovo13724	denovo19853
H	8418	207	96.7	185MI16MI6M	denovo13722	denovo17574
H	16802	207	94.2	207M	denovo13726	denovo25119
H	2344	207	96.1	207M	denovo13723	denovo12106
H	32317	207	94.7	207M	denovo13728	denovo4026
H	15520	207	93.7	207M	denovo13727	denovo23966
H	26456	224	95.2	98M2I107M19D	denovo13725	denovo33808
H	17032	207	98.1	207M	denovo13730	denovo25326
H	27538	207	96.1	207M	denovo1373	denovo34782
H	3305	207	91.3	207M	denovo13729	denovo12972
H	23791	207	85.0	207M	denovo13732	denovo31409
H	13323	207	96.6	207M	denovo13731	denovo21989
H	7869	207	92.3	207M	denovo13736	denovo1708
H	28216	207	92.8	207M18I	denovo13733	denovo35392
H	19123	207	98.1	207M	denovo13734	denovo27208
H	22566	215	97.7	156MD8MD40MD8M16I	denovo13735	denovo30306
H	3243	207	87.4	207M20I	denovo13741	denovo12916
H	4901	232	93.9	132M3D50M2D13MD12M19D	denovo13737	denovo14408
H	35872	222	97.6	195MI11M16D	denovo13738	denovo7226
H	15234	207	95.2	207M	denovo13739	denovo23708
H	3154	209	92.3	209M	denovo13740	denovo12836
H	38421	207	93.2	207M	denovo1374	denovo9520
H	6882	207	97.6	207M17I	denovo13743	denovo16191
H	28974	208	96.2	55MD152M	denovo13744	denovo36074
H	9618	207	96.1	207M18I	denovo13742	denovo18654
H	13528	206	95.2	187M2I19MI	denovo13745	denovo22172
H	26777	226	95.2	207M19D	denovo13746	denovo34097
H	1742	207	93.2	207M	denovo1375	denovo11565
H	38128	225	96.6	207M18D	denovo13749	denovo9257
H	1175	207	97.6	207M	denovo13747	denovo11054
H	21713	208	93.3	208M	denovo13748	denovo2954
H	26371	207	83.6	207M	denovo13751	denovo33731
H	30565	208	96.2	29MD178M	denovo13754	denovo37506
H	2497	208	95.2	65MD142M	denovo13750	denovo12244
H	37951	206	96.1	146MI60M	denovo13753	denovo9098
H	24339	207	92.8	207M19I	denovo13752	denovo31902
H	8642	207	99.5	207M	denovo13755	denovo17776
H	36086	208	94.7	181MD26M	denovo13756	denovo7419
H	27381	209	97.1	170MD38M	denovo1376	denovo34640
H	11546	228	98.1	209M19D	denovo13757	denovo20389
H	23229	207	95.2	207M	denovo13758	denovo30903
H	3317	207	90.3	207M	denovo13759	denovo12983
H	13681	208	95.2	91MD116M	denovo13760	denovo2231
H	8982	225	97.1	86MI120M19D	denovo13761	denovo18081
H	38451	208	95.2	208M	denovo13764	denovo9548
H	14219	210	96.7	15MD67MD85MD40M	denovo13762	denovo22795
H	26510	207	95.7	207M	denovo13763	denovo33857
H	24690	195	93.8	13I194MD	denovo13767	denovo32218
H	6446	207	96.1	207M	denovo13765	denovo158
H	11586	177	80.4	9MD31M2D32MI24MI78M	denovo13773	denovo20424
H	2833	207	96.6	207M	denovo13766	denovo12547
H	11845	207	96.1	207M	denovo13769	denovo20658
H	25157	207	96.1	207M	denovo1377	denovo32639
H	24600	207	89.9	207M	denovo13770	denovo32137
H	29639	207	98.6	207M	denovo13768	denovo36673
H	30470	207	96.6	207M	denovo13771	denovo37420
H	23834	207	90.8	207M	denovo13775	denovo31448
H	11786	208	95.7	208M	denovo13772	denovo20604
H	2535	207	88.4	207M	denovo13774	denovo12279
H	31247	224	95.2	207M17D	denovo13779	denovo3812
H	8428	207	96.6	207M	denovo13776	denovo17583
H	18377	207	93.2	207M	denovo1378	denovo26537
H	18790	228	96.9	182MI32MI8M6D	denovo13778	denovo26909
H	34037	207	92.8	207M	denovo13780	denovo5575
H	13028	208	88.9	208M	denovo13782	denovo21722
H	27519	208	95.7	167MD40M	denovo13781	denovo34765
H	3364	207	95.2	207M	denovo13783	denovo13024
H	11934	207	95.2	207M	denovo13785	denovo20738
H	27157	207	96.6	207M	denovo1379	denovo34439
H	6829	207	95.2	207M	denovo13786	denovo16143
H	16357	208	94.7	129MD78M	denovo13784	denovo24719
H	2606	207	91.8	207M	denovo13788	denovo12342
H	13817	207	96.1	207M	denovo13787	denovo22432
H	21009	207	96.6	207M	denovo13789	denovo28906
H	13751	210	96.0	200M10D	denovo13790	denovo22373
H	21738	208	96.6	208M	denovo13797	denovo29562
H	17084	205	96.1	2I205M	denovo13794	denovo25373
H	157	207	79.2	207M17I	denovo13791	denovo10138
H	17375	207	94.2	70MI137M	denovo13793	denovo25635
H	28712	207	95.7	207M	denovo13795	denovo35839
H	6828	207	95.7	34MI173M	denovo13798	denovo16142
H	25731	207	92.8	207M	denovo13796	denovo33155
H	32897	208	94.2	188MD19M	denovo13800	denovo4549
H	10437	207	94.7	207M	denovo13799	denovo19391
H	16501	208	75.8	17MD44MI108M2I38M	denovo13802	denovo24849
H	11104	207	93.7	207M	denovo138	denovo19992
H	12200	207	96.6	207M	denovo1380	denovo20978
H	281	208	92.3	208M	denovo13808	denovo1025
H	3198	207	97.6	207M	denovo13801	denovo12876
H	5927	207	94.7	207M	denovo13803	denovo15331
H	19295	225	91.4	177MD7M2D11MI11M16D	denovo13804	denovo27363
H	19581	207	96.6	207M	denovo13809	denovo27620
H	35459	211	95.7	45MD14MD150M19I	denovo13807	denovo6855
H	632	207	97.1	207M	denovo13805	denovo10566
H	29342	207	94.7	207M19I	denovo1381	denovo36405
H	4267	207	92.3	207M	denovo13806	denovo13838
H	9791	208	86.1	208M	denovo13813	denovo1881
H	25070	208	91.3	208M	denovo13811	denovo32560
H	28671	205	97.6	21MI184M2I	denovo13810	denovo35801
H	330	207	96.1	207M	denovo13815	denovo10294
H	8365	219	94.8	133MD38MD17MD7MD12M8D	denovo13817	denovo17526
H	8317	207	95.7	207M	denovo13812	denovo17483
H	14601	207	95.2	207M	denovo13818	denovo23138
H	7486	207	90.4	8MI199M	denovo13816	denovo16735
H	25496	207	94.2	188MI19M	denovo13814	denovo32944
H	35130	206	89.9	72MI134M	denovo13819	denovo6559
H	23978	207	99.5	207M	denovo1382	denovo31578
H	700	207	96.6	207M	denovo13821	denovo10627
H	8735	207	98.1	207M	denovo13820	denovo1786
H	29749	201	95.1	140I61M140D	denovo13822	denovo36772
H	5605	207	89.9	207M	denovo13824	denovo15041
H	26551	207	88.9	207M	denovo13823	denovo33894
H	32209	206	96.1	206M	denovo13831	denovo393
H	36383	206	96.1	181MI25M	denovo1383	denovo7687
H	22274	207	96.1	207M	denovo13825	denovo30043
H	7654	209	95.8	117I33MD56MI5M114D	denovo13829	denovo16887
H	29601	206	88.3	206M	denovo13826	denovo36639
H	15108	208	90.4	208M	denovo13827	denovo23595
H	25544	206	88.4	175MI31M	denovo13830	denovo32988
H	13337	207	97.1	207M	denovo13836	denovo2200
H	7223	207	96.1	207M	denovo13834	denovo16499
H	2177	200	96.5	158MD11MD15M2D12M11I	denovo13837	denovo11957
H	35279	207	89.4	207M	denovo13833	denovo6693
H	18465	207	95.7	207M	denovo13835	denovo26616
H	1157	201	98.0	166MD34M38I	denovo13841	denovo11038
H	5511	206	93.2	206M	denovo13839	denovo14958
H	38705	207	95.7	207M	denovo13838	denovo9777
H	15831	204	95.7	31M2I9MI164M	denovo1384	denovo24245
H	36131	207	95.2	207M	denovo13843	denovo746
H	38218	208	92.3	208M21I	denovo13840	denovo9338
H	18947	207	95.7	207M	denovo13844	denovo2705
H	8993	223	95.2	167M2D7M3I30M17D	denovo13842	denovo18091
H	28322	207	96.6	207M	denovo13849	denovo35488
H	14585	209	91.9	11M2D196M	denovo13845	denovo23123
H	4311	224	96.2	192MI15M17D	denovo1385	denovo13878
H	30314	207	93.7	207M	denovo13847	denovo37280
H	10800	207	98.1	29MD14MI163M	denovo13850	denovo19718
H	28368	207	96.6	207M	denovo13851	denovo35529
H	5574	207	96.6	207M	denovo13853	denovo15013
H	656	207	98.1	207M	denovo13852	denovo10588
H	1774	207	96.1	207M	denovo13855	denovo11594
H	36206	207	87.4	207M	denovo13854	denovo7527
H	13222	207	92.3	207M	denovo13856	denovo21898
H	26989	209	96.6	207M2D	denovo13859	denovo34288
H	37159	207	96.1	207M	denovo13857	denovo8385
H	19554	207	96.1	207M	denovo1386	denovo27597
H	7362	207	95.7	195MD11M	denovo13858	denovo16623
H	25869	208	96.2	101MD106M	denovo13860	denovo3328
H	4431	207	96.1	25MD159MD21M2I	denovo13861	denovo13986
H	13370	207	94.2	207M	denovo13863	denovo2203
H	5884	207	96.6	207M	denovo13862	denovo15293
H	6135	207	96.6	166M2I16M2I18M7D	denovo13864	denovo15519
H	25196	207	95.7	207M	denovo13865	denovo32674
H	5871	207	96.2	188MI19M	denovo13867	denovo15281
H	23642	207	96.6	22MI185M	denovo13866	denovo31275
H	11983	208	92.3	208M	denovo13868	denovo20782
H	3175	208	96.2	208M19I	denovo13869	denovo12855
H	713	207	94.7	99MD33M2I74M	denovo13874	denovo10639
H	12463	229	89.5	69MD127MD12M19D	denovo1387	denovo21213
H	31707	221	97.1	83MI111MI11M16D	denovo13870	denovo38534
